timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712160718418,544,HTTP Request,200,OK,Task 6 Thread 6-26,text,true,,281419,128,28,32,https://api.publicapis.org/entries,258,0,0
1712160715606,3371,HTTP Request,200,OK,Task 6 Thread 6-12,text,true,,281419,128,28,32,https://api.publicapis.org/entries,1238,0,0
1712160717426,1655,HTTP Request,200,OK,Task 6 Thread 6-5,text,true,,281419,128,29,33,https://api.publicapis.org/entries,259,0,0
1712160718273,808,HTTP Request,200,OK,Task 6 Thread 6-15,text,true,,281419,128,29,33,https://api.publicapis.org/entries,231,0,0
1712160717668,1527,HTTP Request,200,OK,Task 6 Thread 6-3,text,true,,281419,128,26,34,https://api.publicapis.org/entries,268,0,0
1712160717399,1867,HTTP Request,200,OK,Task 6 Thread 6-32,text,true,,281419,128,25,33,https://api.publicapis.org/entries,799,0,567
1712160718015,1402,HTTP Request,200,OK,Task 6 Thread 6-30,text,true,,281419,128,25,32,https://api.publicapis.org/entries,330,0,0
1712160716002,3638,HTTP Request,200,OK,Task 6 Thread 6-25,text,true,,281419,128,24,30,https://api.publicapis.org/entries,2013,0,1745
1712160718333,1343,HTTP Request,200,OK,Task 6 Thread 6-11,text,true,,281419,128,24,30,https://api.publicapis.org/entries,250,0,0
1712160713000,6734,HTTP Request,200,OK,Task 6 Thread 6-10,text,true,,281419,128,24,29,https://api.publicapis.org/entries,1742,0,1494
1712160719266,533,HTTP Request,200,OK,Task 6 Thread 6-32,text,true,,281419,128,24,29,https://api.publicapis.org/entries,242,0,0
1712160718523,1360,HTTP Request,200,OK,Task 6 Thread 6-6,text,true,,281419,128,25,30,https://api.publicapis.org/entries,241,0,0
1712160719417,606,HTTP Request,200,OK,Task 6 Thread 6-30,text,true,,281419,128,25,30,https://api.publicapis.org/entries,276,0,0
1712160719640,510,HTTP Request,200,OK,Task 6 Thread 6-25,text,true,,281419,128,24,29,https://api.publicapis.org/entries,246,0,0
1712160718200,2015,HTTP Request,200,OK,Task 6 Thread 6-36,text,true,,281419,128,25,30,https://api.publicapis.org/entries,867,0,545
1712160715963,4326,HTTP Request,200,OK,Task 6 Thread 6-13,text,true,,281419,128,25,30,https://api.publicapis.org/entries,313,0,0
1712160716799,3533,HTTP Request,200,OK,Task 6 Thread 6-29,text,true,,281419,128,25,30,https://api.publicapis.org/entries,2072,0,1803
1712160718911,1451,HTTP Request,200,OK,Task 6 Thread 6-33,text,true,,281419,128,25,30,https://api.publicapis.org/entries,245,0,0
1712160715600,5395,HTTP Request,200,OK,Task 6 Thread 6-23,text,true,,281419,128,23,28,https://api.publicapis.org/entries,901,0,603
1712160719508,1592,HTTP Request,200,OK,Task 6 Thread 6-37,text,true,,281419,128,24,29,https://api.publicapis.org/entries,291,0,0
1712160718193,3110,HTTP Request,200,OK,Task 6 Thread 6-8,text,true,,281419,128,25,30,https://api.publicapis.org/entries,276,0,0
1712160719883,1460,HTTP Request,200,OK,Task 6 Thread 6-6,text,true,,281419,128,25,30,https://api.publicapis.org/entries,256,0,0
1712160718599,2935,HTTP Request,200,OK,Task 6 Thread 6-38,text,true,,281419,128,24,29,https://api.publicapis.org/entries,877,0,556
1712160720109,1565,HTTP Request,200,OK,Task 6 Thread 6-41,text,true,,281419,128,25,30,https://api.publicapis.org/entries,260,0,0
1712160712799,9518,HTTP Request,200,OK,Task 6 Thread 6-9,text,true,,281419,128,26,31,https://api.publicapis.org/entries,1455,0,469
1712160720856,1540,HTTP Request,200,OK,Task 6 Thread 6-44,text,true,,281419,128,26,30,https://api.publicapis.org/entries,292,0,0
1712160719399,3072,HTTP Request,200,OK,Task 6 Thread 6-42,text,true,,281419,128,27,30,https://api.publicapis.org/entries,870,0,602
1712160720215,2484,HTTP Request,200,OK,Task 6 Thread 6-36,text,true,,281419,128,28,31,https://api.publicapis.org/entries,240,0,0
1712160720799,2202,HTTP Request,200,OK,Task 6 Thread 6-49,text,true,,281419,128,30,33,https://api.publicapis.org/entries,788,0,551
